pygame 2.5.2 (SDL 2.28.2, Python 3.11.8)
Hello from the pygame community. https://www.pygame.org/contribute.html
         5326381 function calls (5320367 primitive calls) in 124.085 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       68    0.000    0.000    0.017    0.000 __init__.py:2046(find_on_path)
        1    0.000    0.000    0.016    0.016 base_events.py:1(<module>)
        1    0.000    0.000    0.016    0.016 pyparsing.py:1(<module>)
        1    0.000    0.000    0.016    0.016 zipfile.py:1(<module>)
        1    0.000    0.000    0.013    0.013 parser.py:1(<module>)
        1    0.000    0.000    0.013    0.013 feedparser.py:1(<module>)
        1    0.000    0.000    0.013    0.013 main.py:433(__init__)
       26    0.000    0.000    0.012    0.000 pyparsing.py:2779(__init__)
        1    0.000    0.000    0.012    0.012 _policybase.py:1(<module>)
35060/34095    0.011    0.000    0.011    0.000 {built-in method builtins.len}
       23    0.000    0.000    0.011    0.000 sysfont.py:392(SysFont)
       82    0.000    0.000    0.011    0.000 _compiler.py:573(_code)
    67952    0.011    0.000    0.011    0.000 {method 'get_width' of 'pygame.surface.Surface' objects}
       13    0.011    0.001    0.011    0.001 {built-in method io.open}
     7562    0.010    0.000    0.010    0.000 base_events.py:518(_check_closed)
       16    0.000    0.000    0.010    0.001 pygameGui.py:6(__init__)
        1    0.000    0.000    0.010    0.010 __init__.py:559(_build_master)
        1    0.000    0.000    0.010    0.010 __init__.py:546(__init__)
   133299    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
   842/82    0.004    0.000    0.009    0.000 _compiler.py:37(_compile)
     7565    0.009    0.000    0.009    0.000 {built-in method time.monotonic}
       23    0.000    0.000    0.009    0.000 sysfont.py:344(initsysfonts)
        1    0.000    0.000    0.009    0.009 sysfont.py:206(initsysfonts_unix)
        1    0.000    0.000    0.008    0.008 pathlib.py:1(<module>)
      101    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      133    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        1    0.000    0.000    0.008    0.008 tags.py:1(<module>)
