pygame 2.5.2 (SDL 2.28.2, Python 3.11.8)
Hello from the pygame community. https://www.pygame.org/contribute.html
         5326381 function calls (5320367 primitive calls) in 124.085 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {built-in method _posixsubprocess.fork_exec}
        1    0.000    0.000    0.000    0.000 runners.py:58(__enter__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
       58    0.000    0.000    0.000    0.000 version.py:293(__str__)
        2    0.000    0.000    0.000    0.000 runners.py:131(_lazy_init)
       49    0.000    0.000    0.000    0.000 _compiler.py:386(_mk_bitmap)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 runners.py:62(__exit__)
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
      232    0.000    0.000    0.000    0.000 _parser.py:453(_uniq)
        1    0.000    0.000    0.000    0.000 runners.py:65(close)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1475(__init__)
    77/62    0.000    0.000    0.000    0.000 pyparsing.py:3434(__str__)
     3625    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 events.py:808(new_event_loop)
        4    0.000    0.000    0.000    0.000 __init__.py:1583(__init__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
      471    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
       54    0.000    0.000    0.000    0.000 __init__.py:178(sub)
     1919    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        2    0.000    0.000    0.000    0.000 typing.py:2891(__new__)
       33    0.000    0.000    0.000    0.000 __init__.py:1398(_get_metadata_path)
        1    0.000    0.000    0.000    0.000 freetype.py:1(<module>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2863(__init__)
     2807    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
      151    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
        1    0.000    0.000    0.000    0.000 _base.py:1(<module>)
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_write_atomic)
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
        1    0.000    0.000    0.000    0.000 events.py:693(new_event_loop)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4681(originalTextFor)
        1    0.000    0.000    0.000    0.000 unix_events.py:63(__init__)
      934    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
        1    0.000    0.000    0.000    0.000 selector_events.py:49(__init__)
      303    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       71    0.000    0.000    0.000    0.000 typing.py:251(_collect_parameters)
        6    0.000    0.000    0.000    0.000 typing.py:1625(__getitem__)
       86    0.000    0.000    0.000    0.000 <frozen posixpath>:150(dirname)
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
       59    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       14    0.000    0.000    0.000    0.000 pyparsing.py:2026(__call__)
      176    0.000    0.000    0.000    0.000 enum.py:1093(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:3010(DistInfoDistribution)
      120    0.000    0.000    0.000    0.000 pyparsing.py:2368(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      514    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1030(__exit__)
       69    0.000    0.000    0.000    0.000 pyparsing.py:2412(__init__)
      290    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
       43    0.000    0.000    0.000    0.000 ipaddress.py:1889(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        2    0.000    0.000    0.000    0.000 typing.py:2872(_make_nmtuple)
       25    0.000    0.000    0.000    0.000 __init__.py:2880(insert_on)
     1101    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      197    0.000    0.000    0.000    0.000 _parser.py:376(_escape)
      407    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
       16    0.000    0.000    0.000    0.000 {built-in method posix.open}
      471    0.000    0.000    0.000    0.000 copyreg.py:104(__newobj__)
        4    0.000    0.000    0.000    0.000 __init__.py:1587(_setup_prefix)
       38    0.000    0.000    0.000    0.000 pyparsing.py:4230(__init__)
      514    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1026(__enter__)
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
     2169    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      410    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
     1092    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 sysconfig.py:1(<module>)
      238    0.000    0.000    0.000    0.000 types.py:164(__init__)
      333    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
        1    0.000    0.000    0.000    0.000 enum.py:839(_create_)
      500    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      415    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
      287    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
      409    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      408    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
        1    0.000    0.000    0.000    0.000 runners.py:1(<module>)
   107/79    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3353(setResultsName)
      407    0.000    0.000    0.000    0.000 pyparsing.py:3581(<genexpr>)
        8    0.000    0.000    0.000    0.000 enum.py:482(__prepare__)
        1    0.000    0.000    0.000    0.000 selector_events.py:1(<module>)
        5    0.000    0.000    0.000    0.000 typing.py:1639(__getitem_inner__)
      170    0.000    0.000    0.000    0.000 pyparsing.py:3439(<genexpr>)
      756    0.000    0.000    0.000    0.000 version.py:271(<genexpr>)
       37    0.000    0.000    0.000    0.000 __init__.py:1483(_validate_resource_path)
       12    0.000    0.000    0.000    0.000 enum.py:1505(__or__)
      154    0.000    0.000    0.000    0.000 __init__.py:2650(key)
        3    0.000    0.000    0.000    0.000 decoder.py:332(decode)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
       49    0.000    0.000    0.000    0.000 _compiler.py:388(<listcomp>)
     1711    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 constants.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _musllinux.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pkgutil.py:1(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:1421(get_metadata_lines)
      925    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:1139(resource_stream)
       30    0.000    0.000    0.000    0.000 ipaddress.py:1282(__init__)
      266    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      323    0.000    0.000    0.000    0.000 {built-in method from_bytes}
     1970    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       31    0.000    0.000    0.000    0.000 __init__.py:1603(_has)
        1    0.000    0.000    0.000    0.000 timeouts.py:26(Timeout)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
       46    0.000    0.000    0.000    0.000 typing.py:1663(<genexpr>)
     1118    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      470    0.000    0.000    0.000    0.000 version.py:81(__eq__)
       32    0.000    0.000    0.000    0.000 typing.py:320(_remove_dups_flatten)
      789    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       31    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
      477    0.000    0.000    0.000    0.000 _parser.py:83(groups)
       64    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       41    0.000    0.000    0.000    0.000 subprocess.py:1878(<genexpr>)
       26    0.000    0.000    0.000    0.000 linecache.py:52(checkcache)
  112/108    0.000    0.000    0.000    0.000 pyparsing.py:372(__init__)
        1    0.000    0.000    0.000    0.000 expat.py:1(<module>)
       35    0.000    0.000    0.000    0.000 pyparsing.py:2742(__str__)
       82    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
        3    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
        1    0.000    0.000    0.000    0.000 tasks.py:1(<module>)
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
        3    0.000    0.000    0.000    0.000 pyparsing.py:1877(__mul__)
     1118    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       20    0.000    0.000    0.000    0.000 ipaddress.py:1183(_ip_int_from_string)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1617(_ip_int_from_string)
       60    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:579(_calc_mode)
       52    0.000    0.000    0.000    0.000 pyparsing.py:2826(__str__)
        3    0.000    0.000    0.000    0.000 enum.py:1375(_missing_)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      160    0.000    0.000    0.000    0.000 typing.py:159(_type_convert)
      217    0.000    0.000    0.000    0.000 {built-in method builtins.all}
   139/79    0.000    0.000    0.000    0.000 typing.py:1378(__hash__)
      290    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        5    0.000    0.000    0.000    0.000 typing.py:1620(copy_with)
       12    0.000    0.000    0.000    0.000 datetime.py:592(__new__)
     1801    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      236    0.000    0.000    0.000    0.000 {built-in method fromkeys}
     12/2    0.000    0.000    0.000    0.000 pyparsing.py:1926(makeOptionalList)
        4    0.000    0.000    0.000    0.000 __init__.py:1408(get_metadata)
       28    0.000    0.000    0.000    0.000 pyparsing.py:3997(__init__)
      182    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      822    0.000    0.000    0.000    0.000 version.py:393(_parse_letter_version)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1559(__init__)
      165    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      468    0.000    0.000    0.000    0.000 pyparsing.py:2153(__str__)
        4    0.000    0.000    0.000    0.000 pyparsing.py:2020(__invert__)
       17    0.000    0.000    0.000    0.000 enum.py:941(_get_mixins_)
        1    0.000    0.000    0.000    0.000 selector_events.py:105(_make_self_pipe)
      797    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      6/5    0.000    0.000    0.000    0.000 pyparsing.py:4003(parseImpl)
      589    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       36    0.000    0.000    0.000    0.000 __init__.py:1569(_parents)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2765(Regex)
        1    0.000    0.000    0.000    0.000 __init__.py:183(dumps)
      320    0.000    0.000    0.000    0.000 version.py:459(<lambda>)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3829(__init__)
        1    0.000    0.000    0.000    0.000 streams.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1395(has_resource)
        7    0.000    0.000    0.000    0.000 pyparsing.py:4825(tokenMap)
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       25    0.000    0.000    0.000    0.000 __init__.py:2906(<listcomp>)
       20    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
    91/48    0.000    0.000    0.000    0.000 typing.py:1676(__hash__)
        8    0.000    0.000    0.000    0.000 _compiler.py:391(_bytes_to_codes)
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
  235/105    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.000    0.000 ssl.py:1006(SSLSocket)
        1    0.000    0.000    0.000    0.000 encoder.py:183(encode)
      134    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.000    0.000 specifiers.py:638(SpecifierSet)
      799    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      118    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       14    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       55    0.000    0.000    0.000    0.000 <frozen posixpath>:140(basename)
      277    0.000    0.000    0.000    0.000 typing.py:1372(__eq__)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1209(_parse_octet)
        1    0.000    0.000    0.000    0.000 base_events.py:388(BaseEventLoop)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4450(delimitedList)
        1    0.000    0.000    0.000    0.000 sysconfig.py:209(_safe_realpath)
       82    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 queues.py:1(<module>)
        1    0.000    0.000    0.000    0.000 transports.py:1(<module>)
       91    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       57    0.000    0.000    0.000    0.000 <frozen posixpath>:60(isabs)
        1    0.000    0.000    0.000    0.000 __init__.py:1677(MemoizedZipManifests)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:422(spec_from_loader)
        1    0.000    0.000    0.000    0.000 unix_events.py:67(close)
       33    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
        4    0.000    0.000    0.000    0.000 enum.py:792(__iter__)
       22    0.000    0.000    0.000    0.000 pyparsing.py:2813(parseImpl)
       23    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       32    0.000    0.000    0.000    0.000 <frozen posixpath>:100(split)
        1    0.000    0.000    0.000    0.000 encoder.py:205(iterencode)
     1103    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
      164    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      238    0.000    0.000    0.000    0.000 enum.py:229(__set_name__)
       35    0.000    0.000    0.000    0.000 typing.py:1575(<genexpr>)
       87    0.000    0.000    0.000    0.000 __init__.py:2825(__getattr__)
       39    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
       20    0.000    0.000    0.000    0.000 __init__.py:3168(_find_adapter)
       32    0.000    0.000    0.000    0.000 __init__.py:2366(_is_egg_path)
        1    0.000    0.000    0.000    0.000 selector_events.py:86(close)
       44    0.000    0.000    0.000    0.000 typing.py:1294(__getattr__)
       37    0.000    0.000    0.000    0.000 <frozen ntpath>:87(isabs)
       36    0.000    0.000    0.000    0.000 pyparsing.py:3781(__str__)
      370    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:2081(getLogger)
        4    0.000    0.000    0.000    0.000 __init__.py:1615(_get)
        2    0.000    0.000    0.000    0.000 __init__.py:1612(get_resource_stream)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
      112    0.000    0.000    0.000    0.000 pyparsing.py:363(__new__)
        8    0.000    0.000    0.000    0.000 enum.py:1006(_find_new_)
      104    0.000    0.000    0.000    0.000 traceback.py:386(extended_frame_gen)
       32    0.000    0.000    0.000    0.000 typing.py:306(_deduplicate)
       68    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        1    0.000    0.000    0.000    0.000 base_subprocess.py:1(<module>)
       14    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
        1    0.000    0.000    0.000    0.000 pathlib.py:455(PurePath)
      266    0.000    0.000    0.000    0.000 pyparsing.py:3270(<genexpr>)
      114    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 specifiers.py:39(BaseSpecifier)
        1    0.000    0.000    0.000    0.000 futures.py:1(<module>)
        1    0.000    0.000    0.000    0.000 data.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:1(<module>)
       82    0.000    0.000    0.000    0.000 _parser.py:963(fix_flags)
      559    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       16    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       11    0.000    0.000    0.000    0.000 pyparsing.py:3851(__init__)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1597(_make_netmask)
      339    0.000    0.000    0.000    0.000 pyparsing.py:2159(streamline)
      435    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       89    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      136    0.000    0.000    0.000    0.000 typing.py:1671(__eq__)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
       18    0.000    0.000    0.000    0.000 pyparsing.py:663(__iadd__)
        3    0.000    0.000    0.000    0.000 __init__.py:1327(getLogger)
        1    0.000    0.000    0.000    0.000 cursors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
      794    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 base_events.py:390(__init__)
        1    0.000    0.000    0.000    0.000 protocols.py:1(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:1382(__init__)
       77    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
      134    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 selector_events.py:43(BaseSelectorEventLoop)
        4    0.000    0.000    0.000    0.000 pyparsing.py:1841(__radd__)
       12    0.000    0.000    0.000    0.000 pyparsing.py:2045(suppress)
        1    0.000    0.000    0.000    0.000 constants.py:35(_SendfileMode)
      154    0.000    0.000    0.000    0.000 version.py:69(__lt__)
       10    0.000    0.000    0.000    0.000 <frozen posixpath>:397(abspath)
        1    0.000    0.000    0.000    0.000 specifiers.py:97(_IndividualSpecifier)
        1    0.000    0.000    0.000    0.000 colordict.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tokenize.py:392(open)
        1    0.000    0.000    0.000    0.000 <frozen os>:619(get_exec_path)
       21    0.000    0.000    0.000    0.000 pyparsing.py:2707(parseImpl)
      329    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        1    0.000    0.000    0.000    0.000 subprocess.py:1686(_get_handles)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 selector_events.py:97(_close_self_pipe)
        1    0.000    0.000    0.000    0.000 sre_constants.py:1(<module>)
        5    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
       19    0.000    0.000    0.000    0.000 ipaddress.py:1157(_make_netmask)
      105    0.000    0.000    0.000    0.000 sysfont.py:48(_addfont)
        8    0.000    0.000    0.000    0.000 pyparsing.py:3935(__init__)
     11/5    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        3    0.000    0.000    0.000    0.000 subprocess.py:1259(wait)
        8    0.000    0.000    0.000    0.000 pyparsing.py:4783(<genexpr>)
        1    0.000    0.000    0.000    0.000 threading.py:1409(__init__)
      204    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 markers.py:275(Marker)
       17    0.000    0.000    0.000    0.000 enum.py:977(_find_data_type_)
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_pack_uint32)
       54    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        4    0.000    0.000    0.000    0.000 typing.py:852(__init__)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        2    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
        3    0.000    0.000    0.000    0.000 selectors.py:351(register)
        4    0.000    0.000    0.000    0.000 functools.py:904(wrapper)
      636    0.000    0.000    0.000    0.000 __init__.py:2109(__bool__)
      224    0.000    0.000    0.000    0.000 version.py:301(<genexpr>)
       11    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        7    0.000    0.000    0.000    0.000 <frozen _collections_abc>:778(__contains__)
     11/5    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       78    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
        1    0.000    0.000    0.000    0.000 runners.py:193(_cancel_all_tasks)
        6    0.000    0.000    0.000    0.000 pyparsing.py:4781(<lambda>)
       68    0.000    0.000    0.000    0.000 enum.py:745(__delattr__)
       76    0.000    0.000    0.000    0.000 pyparsing.py:1351(preParse)
        1    0.000    0.000    0.000    0.000 socket.py:595(socketpair)
       74    0.000    0.000    0.000    0.000 copy.py:243(_keep_alive)
        3    0.000    0.000    0.000    0.000 base_events.py:430(create_task)
        4    0.000    0.000    0.000    0.000 functools.py:852(register)
      189    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 selector_events.py:265(_add_reader)
        1    0.000    0.000    0.000    0.000 sslproto.py:23(SSLProtocolState)
       64    0.000    0.000    0.000    0.000 {method 'extend' of 'bytearray' objects}
       16    0.000    0.000    0.000    0.000 pyparsing.py:1069(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:950(Environment)
       15    0.000    0.000    0.000    0.000 pyparsing.py:4565(_escapeRegexRangeChars)
        3    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.000    0.000 subprocess.py:1282(_close_pipe_fds)
        1    0.000    0.000    0.000    0.000 tasks.py:42(all_tasks)
        7    0.000    0.000    0.000    0.000 specifiers.py:305(_require_version_compare)
        1    0.000    0.000    0.000    0.000 timeouts.py:18(_State)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       25    0.000    0.000    0.000    0.000 enum.py:931(_check_for_existing_members_)
       82    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
       10    0.000    0.000    0.000    0.000 enum.py:1365(_iter_member_by_def_)
        3    0.000    0.000    0.000    0.000 subprocess.py:2019(_wait)
      128    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        3    0.000    0.000    0.000    0.000 tasks.py:654(ensure_future)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1288(addParseAction)
        3    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 __init__.py:3245(_initialize)
      555    0.000    0.000    0.000    0.000 copy.py:182(_deepcopy_atomic)
       45    0.000    0.000    0.000    0.000 pyparsing.py:1190(setName)
       78    0.000    0.000    0.000    0.000 pyparsing.py:2052(leaveWhitespace)
      128    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
        1    0.000    0.000    0.000    0.000 taskgroups.py:1(<module>)
      128    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
       41    0.000    0.000    0.000    0.000 <frozen os>:806(fsencode)
      128    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      170    0.000    0.000    0.000    0.000 pyparsing.py:2061(setWhitespaceChars)
        1    0.000    0.000    0.000    0.000 __init__.py:167(get_supported_platform)
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
        1    0.000    0.000    0.000    0.000 sysconfig.py:133(_getuserbase)
      167    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      128    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
       59    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
       78    0.000    0.000    0.000    0.000 traceback.py:261(__init__)
       17    0.000    0.000    0.000    0.000 copyreg.py:113(_slotnames)
       17    0.000    0.000    0.000    0.000 enum.py:770(__getattr__)
       33    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        3    0.000    0.000    0.000    0.000 selectors.py:365(unregister)
        3    0.000    0.000    0.000    0.000 tasks.py:662(_ensure_future)
      220    0.000    0.000    0.000    0.000 typing.py:1365(<genexpr>)
        1    0.000    0.000    0.000    0.000 locks.py:439(_BarrierState)
       46    0.000    0.000    0.000    0.000 __init__.py:2381(_is_unpacked_egg)
        2    0.000    0.000    0.000    0.000 functools.py:800(singledispatch)
        1    0.000    0.000    0.000    0.000 sslproto.py:31(AppProtocolState)
        5    0.000    0.000    0.000    0.000 <frozen _collections_abc>:771(get)
        1    0.000    0.000    0.000    0.000 __init__.py:377(get_build_platform)
      435    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      196    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 events.py:762(get_event_loop_policy)
       22    0.000    0.000    0.000    0.000 <frozen posixpath>:389(normpath)
       25    0.000    0.000    0.000    0.000 __init__.py:2302(fixup_namespace_packages)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1721(_parse_hextet)
        1    0.000    0.000    0.000    0.000 runners.py:15(_State)
      2/1    0.000    0.000    0.000    0.000 pyparsing.py:3939(parseImpl)
        1    0.000    0.000    0.000    0.000 subprocess.py:749(Popen)
       26    0.000    0.000    0.000    0.000 traceback.py:294(__getitem__)
        3    0.000    0.000    0.000    0.000 selectors.py:234(register)
       19    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 ssl.py:477(Purpose)
        1    0.000    0.000    0.000    0.000 events.py:754(_init_event_loop_policy)
        1    0.000    0.000    0.000    0.000 datetime.py:2293(timezone)
       26    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       19    0.000    0.000    0.000    0.000 pyparsing.py:4017(__str__)
      104    0.000    0.000    0.000    0.000 traceback.py:322(walk_stack)
      195    0.000    0.000    0.000    0.000 pyparsing.py:3392(<genexpr>)
        4    0.000    0.000    0.000    0.000 __init__.py:2409(_)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1103(ParserElement)
       32    0.000    0.000    0.000    0.000 __init__.py:2373(_is_zip_egg)
        5    0.000    0.000    0.000    0.000 pyparsing.py:4292(__init__)
        8    0.000    0.000    0.000    0.000 {built-in method pygame.transform.rotate}
        1    0.000    0.000    0.000    0.000 pyparsing.py:4268(postParse)
        1    0.000    0.000    0.000    0.000 random.py:119(__init__)
        1    0.000    0.000    0.000    0.000 sre_constants.py:7(<dictcomp>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:420(__setitem__)
        1    0.000    0.000    0.000    0.000 {built-in method _socket.socketpair}
        6    0.000    0.000    0.000    0.000 pyparsing.py:3098(__init__)
      148    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      274    0.000    0.000    0.000    0.000 version.py:432(_parse_local_version)
        1    0.000    0.000    0.000    0.000 _structures.py:1(<module>)
        2    0.000    0.000    0.000    0.000 types.py:247(coroutine)
        8    0.000    0.000    0.000    0.000 selectors.py:215(_fileobj_lookup)
      215    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {built-in method posix.read}
       14    0.000    0.000    0.000    0.000 typing.py:1648(<genexpr>)
        1    0.000    0.000    0.000    0.000 sysconfig.py:142(joinuser)
        1    0.000    0.000    0.000    0.000 tokenize.py:299(detect_encoding)
